,0
0,"间歇性积极患者,""wss吴思思"""
1,"间歇性积极患者,""时光依旧mooc18"""
2,"kixin1208,""黄丽君"""
3,"kixin1208,""黄丽君"""
4,"间歇性积极患者,""时光依旧mooc18"""
5,"间歇性积极患者,""睡不醒的笨猪mooc"""
6,"间歇性积极患者,""睡不醒的笨猪mooc"""
7,"间歇性积极患者,""一只猹真名狗獾"""
8,"间歇性积极患者,""一只猹真名狗獾"""
9,"间歇性积极患者,""时光依旧mooc18"""
10,"mooc1524757280367,""谭茵珈"""
11,"mooc1524757280367,""谭茵珈"""
12,"mooc1524757280367,""墨韵吃吃吃"""
13,"mooc1524757280367,""十五sw"""
14,"间歇性积极患者,""黄丽君"""
15,"mooc1524757280367,""mooc22825105514727291"""
16,"mooc1524757280367,""mooc22825105514727291"""
17,"诸神黄昏mooc14,""mooc22825105514727291"""
18,"间歇性积极患者,""mooc22825105514727291"""
19,"mooc1524757280367,""冰雪心mooc3"""
20,"间歇性积极患者,""tangyanli0327"""
21,"mooc1524757280367,""mooc54261026034335420"""
22,"间歇性积极患者,""花灯树下"""
23,"于春龙13365427636,""tangyanli0327"""
24,"03徐子林,""hwbBOBO"""
25,"03徐子林,""hwbBOBO"""
26,"师保国,""hwbBOBO"""
27,"间歇性积极患者,""mooc49851299986336783"""
28,"牧羊野老001,""牧羊野老001"""
29,"牧羊野老001,""牧羊野老001"""
30,"yzu201806725,""牧羊野老001"""
31,"yzu201806725,""牧羊野老001"""
32,"牧羊野老001,""牧羊野老001"""
33,"豫中医18中医本1班刘洁,""牧羊野老001"""
34,"豫中医18中医本1班刘洁,""牧羊野老001"""
35,"mooc22825105514727291,""牧羊野老001"""
36,"yzu201806725,""最爱梵高"""
37,"yzu201806725,""最爱梵高"""
38,"小妍1978,""最爱梵高"""
39,"小妍1978,""最爱梵高"""
40,"最爱梵高,""最爱梵高"""
41,"最爱梵高,""最爱梵高"""
42,"03徐子林,""最爱梵高"""
43,"03徐子林,""最爱梵高"""
44,"tangyanli0327,""最爱梵高"""
45,"tangyanli0327,""最爱梵高"""
46,"鲨子,""最爱梵高"""
47,"鲨子,""最爱梵高"""
48,"最爱梵高,""最爱梵高"""
49,"星般闪烁,""最爱梵高"""
50,"鲸歌mooc40,""ykt1508201715978"""
51,"鲸歌mooc40,""ykt1508201715978"""
52,"Polarismooc198,""ykt1508201715978"""
53,"Polarismooc198,""ykt1508201715978"""
