,0
0,"歇会儿123,""歇会儿123"""
1,"mooc87598474764773022,""George_lee"""
2,"mooc18951576859509952,""师保国"""
3,"mooc18951576859509952,""师保国"""
4,"拥青小,""师保国"""
5,"拥青小,""师保国"""
6,"汪国琴,""师保国"""
7,"汪国琴,""师保国"""
8,"沈画,""师保国"""
9,"沈画,""师保国"""
10,"薛邵君mooc78795408409257839,""师保国"""
11,"薛邵君mooc78795408409257839,""师保国"""
12,"黄彦桃,""师保国"""
13,"黄彦桃,""师保国"""
14,"mooc1514446850107,""师保国"""
15,"mooc1514446850107,""师保国"""
16,"歇会儿123,""师保国"""
17,"小殷贝贝,""师保国"""
18,"小殷贝贝,""师保国"""
19,"Ever_,""师保国"""
20,"Ever_,""师保国"""
21,"机修3183原文超,""师保国"""
22,"机修3183原文超,""师保国"""
23,"07043180303,""师保国"""
24,"07043180303,""师保国"""
25,"mooc18951576859509952,""助教唐圆梦"""
26,"mooc18951576859509952,""助教唐圆梦"""
27,"落葵mooc9,""助教唐圆梦"""
28,"落葵mooc9,""助教唐圆梦"""
29,"拥青小,""助教唐圆梦"""
30,"拥青小,""助教唐圆梦"""
31,"汪国琴,""助教唐圆梦"""
32,"汪国琴,""助教唐圆梦"""
33,"薛邵君mooc78795408409257839,""助教唐圆梦"""
34,"薛邵君mooc78795408409257839,""助教唐圆梦"""
35,"沈画,""助教唐圆梦"""
36,"沈画,""助教唐圆梦"""
37,"靖南尘,""助教唐圆梦"""
38,"靖南尘,""助教唐圆梦"""
39,"黄彦桃,""助教唐圆梦"""
40,"兰径香风,""助教唐圆梦"""
41,"兰径香风,""助教唐圆梦"""
42,"小殷贝贝,""助教唐圆梦"""
43,"小殷贝贝,""助教唐圆梦"""
44,"k1233874223303927143,""助教唐圆梦"""
45,"k1233874223303927143,""助教唐圆梦"""
46,"Ever_,""助教唐圆梦"""
47,"Ever_,""助教唐圆梦"""
48,"机修3183原文超,""助教唐圆梦"""
49,"机修3183原文超,""助教唐圆梦"""
50,"07043180303,""助教唐圆梦"""
51,"07043180303,""助教唐圆梦"""
52,"兰美琪,""助教唐圆梦"""
53,"兰美琪,""助教唐圆梦"""
54,"jusufsty,""助教唐圆梦"""
55,"浩海游龙,""助教唐圆梦"""
56,"浩海游龙,""助教唐圆梦"""
57,"医检202002班罗玲,""良辰博"""
58,"医检202002班罗玲,""良辰博"""
59,"mooc54936003385916538,""SCUT2018"""
60,"mooc54936003385916538,""SCUT2018"""
61,"mooc18951576859509952,""助教唐圆梦"""
62,"mooc18951576859509952,""助教唐圆梦"""
63,"拥青小,""助教唐圆梦"""
64,"拥青小,""助教唐圆梦"""
65,"mooc6325520445113436,""助教唐圆梦"""
66,"mooc6325520445113436,""助教唐圆梦"""
67,"qqusermooc749,""助教唐圆梦"""
68,"qqusermooc749,""助教唐圆梦"""
69,"汪国琴,""助教唐圆梦"""
70,"汪国琴,""助教唐圆梦"""
71,"沈画,""助教唐圆梦"""
72,"沈画,""助教唐圆梦"""
73,"袁靖喆,""助教唐圆梦"""
74,"袁靖喆,""助教唐圆梦"""
75,"靖南尘,""助教唐圆梦"""
76,"Ever_,""助教唐圆梦"""
77,"Ever_,""助教唐圆梦"""
78,"机修3183原文超,""助教唐圆梦"""
79,"机修3183原文超,""助教唐圆梦"""
80,"07043180303,""助教唐圆梦"""
81,"07043180303,""助教唐圆梦"""
82,"木易浩荡,""助教唐圆梦"""
83,"木易浩荡,""助教唐圆梦"""
84,"行夜人,""助教唐圆梦"""
85,"行夜人,""助教唐圆梦"""
86,"我是胡浩翔先生,""助教唐圆梦"""
87,"我是胡浩翔先生,""助教唐圆梦"""
88,"Chen-Y-J,""助教唐圆梦"""
89,"Chen-Y-J,""助教唐圆梦"""
90,"医检202002班罗玲,""miracle.wing"""
91,"医检202002班罗玲,""CUG20191002503王月辉"""
92,"医检202002班罗玲,""CUG20191002503王月辉"""
93,"师保国,""学员a12akada46373471843756817"""
