Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,clustering,eigencentrality
"蒋良孝",蒋良孝,,10,32,42,28,92,120,2,0.918919,0.955882,413.5,0.026333,0.993931,0.0817,0,23,0,0.039216,1
mooc75230078350363449,mooc75230078350363449,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,22,0,0,0.286154
freshfishmooc1,freshfishmooc1,,2,1,3,3,1,4,0,0,0,0,0.177575,0,0.010644,0,21,0,0.5,0.397888
mooc8727928243841415,mooc8727928243841415,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,20,0,0,0.286154
"澄碧钓徒",澄碧钓徒,,1,1,2,11,2,13,3,0.485714,0.5,0,0.177575,0.004705,0.010644,0,23,0,0,0.286154
123study43,123study43,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,19,0,0,0.286154
"叶子花香",叶子花香,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,18,0,0,0.286154
ykt1502963606650,ykt1502963606650,,2,1,3,14,4,18,3,0.485714,0.5,33,0.18343,0.004705,0.019691,0,23,0,0.5,0.367348
dedemooc13,dedemooc13,,2,2,4,5,4,9,3,0.485714,0.5,0,0.177575,0.004705,0.010644,0,23,0,1,0.397888
tiantian11811,tiantian11811,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,17,0,0,0.286154
binghh0890163com,binghh0890163com,,2,0,2,3,0,3,0,0,0,0,0.18343,0,0.017846,0,16,0,0,0.289016
"快乐妈咪mooc1",快乐妈咪mooc1,,0,1,1,0,1,1,1,1,1,0,0,0.032772,0.008474,0,24,0,0,0
znznznzn,znznznzn,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,15,0,0,0.286154
DateRelax,DateRelax,,1,1,2,1,1,2,3,0.485714,0.5,0,0.177575,0.004705,0.010644,0,23,0,0,0.286154
"东北望射狮射猴射天狗1991",东北望射狮射猴射天狗1991,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,14,0,0,0.286154
mooc1519996539358,mooc1519996539358,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,13,0,0,0.286154
"南望山伯爵",南望山伯爵,,1,1,2,2,2,4,0,0,0,0,0,0,0.008474,1,25,1,0,0.008806
mooc50117957444223607,mooc50117957444223607,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,12,0,0,0.286154
"你说嘿我说嘿嘿",你说嘿我说嘿嘿,,1,1,2,11,5,16,3,0.485714,0.5,0,0.177575,0.004705,0.010644,0,23,0,0,0.286154
masterfan,masterfan,,2,1,3,4,1,5,0,0,0,0,0.177575,0,0.010644,0,11,0,0.5,0.397888
jrwjb,jrwjb,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,10,0,0,0.286154
cug大白马,cug大白马,,1,1,2,2,3,5,4,0.346939,0.365196,0,0.007198,0.036541,0.017046,0,23,4,0,0.167702
"凯凯ykt1477744534156",凯凯ykt1477744534156,,6,5,11,22,11,33,3,0.523077,0.553922,120.5,0.204529,0.040288,0.050427,0,23,4,0.261905,0.561821
"李兴坤",李兴坤,,1,0,1,1,0,1,0,0,0,0,0.177575,0,0.010644,0,9,0,0,0.286154
"吴越楚",吴越楚,,1,1,2,1,1,2,4,0.333333,0.35049,0,0.177575,0.032772,0.010644,0,23,0,1,0.286154
"大康lk",大康lk,,2,0,2,3,0,3,0,0,0,0,0.184773,0,0.019217,0,8,0,1,0.453857
"没女朋友的傻子",没女朋友的傻子,,1,0,1,2,0,2,0,0,0,0,0.177575,0,0.010644,0,7,0,0,0.286154
"以万物为师",以万物为师,,2,1,3,3,1,4,1,1,1,14,0.18343,0,0.086327,0,6,2,0,0.319168
"远方mooc396",远方mooc396,,2,1,3,2,1,3,1,1,1,1,0,0.032772,0.089125,0,6,2,0,0.096332
